INDICATOR_VALUE
coronavirus-sochi[.]ru
coronavirus-rostov[.]ru
coronavirusgermany[.]xyz
coronavirus-lipetsk[.]ru
coronavirusmoskva[.]ru
coronavirus-krym[.]ru
54[.]39[.]16[.]73
176[.]10[.]99[.]200
coronavirus-omsk[.]ru
viruscovid19[.]site
coronavirusisfakenews[.]xyz
coronavirus-krasnodar[.]ru
coronaviruskazan[.]ru
3a97d9b6f17754dcd38ca7fc89caab04
fb56ce4b853a94ae3f64367c02ec7e31
coronavirusnewsfirst[.]xyz
coronavirusinchina[.]xyz
185[.]220[.]101[.]207
covid19inafrica[.]info
coronavirusapp[.]xyz
ryazan-coronavirus[.]ru
coronavirusfrance[.]xyz
russia-coronavirus[.]ru
coronavirus-novosibirsk[.]ru
3d16542d4ee5c8f77e6c0281d283c7bc
194[.]180[.]224[.]130
0022c1fe1d6b036de2a08d50ac5446a5
coronavirusnews24[.]ru
samara-coronavirus[.]ru
anti-covid[.]xyz
pandemiya-coronavirus[.]ru
coronavirus-moskva[.]ru
coronavirusunet[.]ru
some-covid19-stats[.]space
covid19helpline[.]info
coronavirus-kazan[.]ru
covid-19-data[.]info
nocovid[.]ru
tyumen-coronavirus[.]ru
perm-coronavirus[.]ru
netcoronavirusu[.]ru
selftestkitcovid19[.]store
killercoronavirus[.]world
56f423c7a7fef041f3039319f2055509
22149a1ee21e6d60758fe58b34f04952
eb40189cde69d60ca6f9a3f0531dbc5e
85[.]209[.]0[.]101
77[.]247[.]181[.]165
4e39bc95e35323ab586d740725a1c8cbcde01fe453f7c4cac7cced9a26e42cc9
moscow-coronavirus[.]ru
map-covid19[.]ru
kaliningrad-coronavirus[.]ru
covid2019net[.]ru
covid19-data-sonification[.]space
covid19stimulus[.]work
micovid[.]xyz
covid19answers[.]info
kazan-coronavirus[.]ru
0155738045b331f44d300f4a7d08cf21
0ad4892ead67e65ec3dd4c978fce7d92
0ad6da9e62a2c985156a9c53f8494171
covid19-spb[.]ru
covid19-voronezh[.]ru
covid194dummies[.]info
covid19-saratov[.]ru
covid19-tambov[.]ru
covid19-kazan[.]ru
covid19-nn[.]ru
covid19-krasnoyarsk[.]ru
covid19-moskva[.]ru
coronavirusekaterinburg[.]ru
coronavirus-ekb[.]ru
162[.]247[.]72[.]199
